YEAR,EQ_PRIMARY,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,La,Lo
1979,5.6,GREECE,GREECE: CRETE,34.53,24.437,90,90
1979,5.4,INDONESIA,INDONESIA:  BALI,-8.299,115.934,0,180
1979,6.2,MACEDONIA,BALKANS NW:  MACEDONIA:  DEBAR,42.255,18.752,90,90
1979,5.8,INDONESIA,INDONESIA:  SUMBAWA ISLAND,-8.207,115.949,0,180
1979,6.1,AUSTRALIA,AUSTRALIA:  WESTERN,-30.812,117.179,0,180
1979,6.2,PAPUA NEW GUINEA,"PAPUA NEW GUINEA:  E, MT HAGEN",-4.98,145.577,0,180
1979,6.5,PANAMA,PANAMA-COSTA RICA:  PUERTO ARMUELLES,8.316,-82.943,90,0
1979,5.4,CHINA,CHINA:JIANGSU PROVINCE:LIYANG,31.452,119.241,90,180
1979,4.9,TURKEY,"TURKEY:  DURSUNBEY, ANATOLIA",39.672,28.66,90,90
1979,5.9,CHINA,CHINA:NEI MONGOL:WU-YUAN,41.145,108.129,90,180
1979,7.9,INDONESIA,INDONESIA:  NEW GUINEA:  IRIAN JAYA,-1.679,136.04,0,180
1979,5.8,ITALY,ITALY:  CENTRAL:  UMBRIA,42.812,13.061,90,90
1979,4.7,GUATEMALA,GUATEMALA,14.321,-90.082,90,-90
1979,7.5,NEW ZEALAND,NEW ZEALAND:  W OF NORTH ISLAND,-46.675,165.707,0,180
1979,6.9,USA,CALIFORNIA:  IMPERIAL VALLEY; MEXICO: MEXICALI,32.634,-115.324,90,-90
1979,6.2,INDONESIA,INDONESIA:  SUMBAWA ISLAND,-8.254,115.847,0,180
1979,6.8,GUATEMALA,GUATEMALA,13.833,-90.881,90,-90
1979,6.1,INDONESIA,INDONESIA:  JAVA,-7.656,108.252,0,180
1979,5.2,GREECE,GREECE-ALBANIA,39.536,20.398,90,90
1979,6.6,IRAN,IRAN:  KHORASAN,33.918,59.741,90,90
1979,6.9,FIJI,FIJI ISLANDS,-16.76,-179.984,0,-90
1979,6.4,COLOMBIA,COLOMBIA:  MANIZALES-ARMENIA,4.805,-76.217,90,0
1979,7.5,IRAN,IRAN,33.962,59.726,90,90
1979,6,IRAN,IRAN,34.033,59.817,90,90
1979,7.7,COLOMBIA,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,90,0
1979,6.6,INDONESIA,INDONESIA:  S SUMATERA,-3.299,102.712,0,180
1979,6.3,INDONESIA,"INDONESIA:  SUMBAWA ISLAND:  BALI, LOMBOK",-8.39,115.889,0,180
1980,6.7,AZORES (PORTUGAL),"AZORES:   TERCEIRA, ANGRA DO HEROISMO",38.815,-27.78,90,0
1980,5.9,USA,CALIFORNIA:  LIVERMORE,37.855,-121.816,90,-90
1980,7,RUSSIA,RUSSIA:  S. KURIL ISLANDS,43.53,146.753,90,180
1980,5.8,INDONESIA,INDONESIA:  JAVA:  TASIKMALAJA,-8.082,108.793,0,180
1980,4.5,ITALY,ITALY:  S,40.459,15.855,90,90
1980,5.3,GUATEMALA,GUATEMALA:  S COAST,14.716,-91.317,90,-90
1980,5.2,USA,WASHINGTON:  MT ST HELENS,46.214,-122.194,90,-90
1980,5.8,SERBIA,BALKANS NW:  SERBIA,43.294,20.837,90,90
1980,6.1,USA,CALIFORNIA:  MAMMOTH LAKES,37.6,-118.84,90,-90
1980,6.4,MEXICO,MEXICO:  NW,32.22,-114.985,90,-90
